primary_procedure_id,coa_requirement_keys
CARDIOVASCULAR_049,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_050,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_051,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_052,"[""coa.case.anatomic.intrathoracic_heart_closed""]"
CARDIOVASCULAR_053,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_054,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_055,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_056,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_057,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
CARDIOVASCULAR_058,"[""coa.case.anatomic.intrathoracic_heart_open_cpb""]"
THORACIC_001,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_002,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_003,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_004,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_005,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_006,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_007,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_008,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_009,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_010,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_011,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_012,"[""coa.case.anatomic.intra_abdominal""]"
THORACIC_013,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_014,"[""coa.case.anatomic.intrathoracic_lung""]"
THORACIC_015,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_016,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_017,"[""coa.case.anatomic.oropharyngeal""]"
THORACIC_018,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_019,"[""coa.case.anatomic.intrathoracic_other""]"
THORACIC_020,"[""coa.case.anatomic.intrathoracic_other""]"
NEUROSURGERY_001,"[""coa.case.anatomic.intracranial_open""]"
