pdf_procedure_id,primary_procedure_id,default_modifiers,mapping_confidence,needs_review
tosp_sa885s,pap_skin_of_face_excision,"[""biopsy""]",med,false
tosp_sa886s,pap_skin_wrinkles_partial_rhytidectomy5,[],high,false
tosp_sa887s,pap_skin_wrinkles_total_rhytidectomy5,[],high,false
tosp_sa888s,pap_soft_tissue_tumor_wide_excision_7cm_other_than_upper_lower_limbs,"[""biopsy""]",med,false
tosp_sa889s,pap_soft_tissue_tumor_radical_excision_7cm_other_than_upper_lower_limbs,"[""biopsy""]",med,false
tosp_sa890s,pap_subcutaneous_tissue_obesity_liposuction,[],high,false
tosp_sa891s,pap_subcutaneous_tissue_obesity_liposuction,[],high,false
tosp_sa892s,pap_subcutaneous_tissue_obesity_liposuction,[],high,false
tosp_sa893s,pap_subcutaneous_tissue_obesity_liposuction,[],high,false
tosp_sa894s,pap_subcutaneous_tissue_obesity_liposuction_subcutaneous_tissue_obesity_lipectomy,[],high,false
tosp_sa895s,pap_transverse_wedge_excision_of_abdominal_apron_lipectomy_following_weight_loss_sur,[],low,true
tosp_sa896s,pap_subcutaneous_tissue_obesity_lipectomy_excision,[],low,true
tosp_sa898s,pap_weight_loss_surgery_sweat_gland_axillary_hyperhidrosis_wedge_excision,"[""unilateral""]",high,false
tosp_sa899s,pap_skin_intralesional_steroid_injection_subcutaneous_tissue_obesity,[],high,false
tosp_sa900s,pap_excision_lipectomy_limbs_following_weight_loss_surgery,"[""bilateral"", ""unilateral""]",high,false
tosp_sa901s,pap_subcutaneous_tissue_obesity_excision_lipectomy_thorax_back_buttocks_following_we,[],high,false
tosp_sa903s,pap_skin_pre_malignant_lesions_excision_vaporisation_by_laser_and_other_ablative_mod,[],high,false
tosp_sa904s,pap_skin_pre_malignant_lesions_excision_vaporisation_by_laser_and_other_ablative_mod,[],high,false
tosp_sa905s,pap_skin_pre_malignant_lesions_excision_vaporisation_by_laser_and_other_ablative_mod,[],high,false
tosp_sb700a,pap_ankle_ankle_fracture_bimalleolar_orif,[],high,false
tosp_sb700b,pap_bone_tumor_3_cm,[],low,true
tosp_sb700c,pap_calcaneum_fracture_extra_articular_reduction_internal_fixation,"[""open""]",med,false
tosp_sb700d,pap_digit_nailbed_laceration_nailbed_grafting,[],high,false
tosp_sb700e,pap_elbow_therapeutic_arthroscopy,[],high,false
tosp_sb700f,pap_face_fracture_reduction_and_fixation,"[""endoscopic""]",med,false
tosp_sb700h,pap_knee_therapeutic_arthroscopy_rheumatoid_hand,[],low,true
tosp_sb700j,pap_joints_arthroscopy,"[""unilateral""]",high,false
tosp_sb700k,pap_knee_arthroscopy_knee_ligament_reconstruction,[],high,false
tosp_sb700l,pap_lower_limb_tendon_release,"[""open""]",med,false
tosp_sb700m,pap_mandible_and_maxilla_osteotomy_and_insertion_of_device_for_distraction_osteogene,[],high,false
tosp_sb700o,pap_others_autologous_chondrocyte_implantation,[],high,false
tosp_sb700p,pap_patella_habitual_dislocation_lateral_release_medial_plication,[],high,false
tosp_sb700r,pap_radius_and_ulna_fracture_dislocation_non_union_delayed_union_bone_grafting_and_r,[],high,false
tosp_sb700s,pap_shoulder_therapeutic_arthroscopy,[],high,false
tosp_sb700t,pap_tendon_tendon_transfer,[],high,false
tosp_sb700w,pap_wrist_therapeutic_arthroscopy,[],high,false
tosp_sb701a,pap_ankle_comminuted_plafond_fracture_orif,[],high,false
tosp_sb701b,pap_bone_tumor_radical_excision_6cm,[],low,true
tosp_sb701c,pap_clavicle_clavicle_fracture_comminuted_plating,[],low,true
tosp_sb701d,pap_digit_soft_tissue_defect_complex_small_skin_flaps_multiple_flaps,[],high,false
tosp_sb701e,pap_elbow_condyle_radial_head_fracture_radial_head_excision_condyle_arthroplasty,[],high,false
tosp_sb701f,pap_face_fractures_reduction_and_internal_fixation,"[""open""]",med,false
